Concept;Rating;Class
Cooperativo/a;95.5;Likableness
Cooperativo/a;95;Likableness
Cooperativo/a;100;Likableness
Cooperativo/a;79;Likableness
Cooperativo/a;73;Likableness
Cooperativo/a;87.5;Likableness
Cooperativo/a;85;Likableness
Cooperativo/a;79;Likableness
Cooperativo/a;95;Likableness
Cooperativo/a;100;Likableness
Cooperativo/a;93.5;Likableness
Generoso/a;83.5;Affect
Generoso/a;70;Affect
Generoso/a;15;Affect
Generoso/a;33;Affect
Generoso/a;50;Affect
Generoso/a;70.5;Affect
Generoso/a;64;Affect
Generoso/a;73.5;Affect
Generoso/a;90;Affect
Generoso/a;70;Affect
Generoso/a;52.5;Affect
Generoso/a;75;Affect
Generoso/a;80;Affect
Generoso/a;61.5;Affect
Generoso/a;69.5;Affect
Generoso/a;88;Affect
Generoso/a;85;Affect
Generoso/a;40.5;Affect
Generoso/a;95;Affect
Generoso/a;65;Affect
Generoso/a;75;Affect
Generoso/a;80;Affect
Generoso/a;87;Affect
Generoso/a;50.5;Affect
Generoso/a;40;Affect
Generoso/a;65;Affect
Generoso/a;18;Affect
Generoso/a;100;Affect
Generoso/a;89.5;Affect
Generoso/a;84.5;Affect
Generoso/a;91.5;Likableness
Generoso/a;100;Likableness
Generoso/a;74.5;Likableness
Generoso/a;84.5;Likableness
Generoso/a;90;Likableness
Generoso/a;94.5;Likableness
Generoso/a;84;Likableness
Generoso/a;91.5;Likableness
Generoso/a;91.5;Likableness
Generoso/a;89.5;Likableness
Generoso/a;90.5;Likableness
Generoso/a;100;Likableness
Generoso/a;95;Likableness
Generoso/a;78.5;Likableness
Generoso/a;95;Likableness
Generoso/a;82.5;Likableness
Generoso/a;80;Likableness
Generoso/a;85;Likableness
Generoso/a;70;Likableness
Generoso/a;96;Likableness
Generoso/a;92.5;Likableness
Generoso/a;100;Likableness
Generoso/a;85;Likableness
Generoso/a;74.5;Likableness
Generoso/a;87.5;Likableness
Generoso/a;80;Likableness
Generoso/a;76;Likableness
Generoso/a;97.5;Likableness
Generoso/a;90;Likableness
Generoso/a;95;Likableness
Indulgente;85;Affect
Indulgente;20;Affect
Indulgente;55;Affect
Indulgente;32;Affect
Indulgente;60;Affect
Indulgente;55.5;Affect
Indulgente;50;Affect
Indulgente;70.5;Affect
Indulgente;65;Affect
Indulgente;37;Affect
Indulgente;55.5;Affect
Indulgente;69;Affect
Indulgente;89.5;Affect
Indulgente;59;Affect
Indulgente;75;Affect
Indulgente;75.5;Affect
Indulgente;72;Affect
Indulgente;44.5;Affect
Indulgente;55;Affect
Indulgente;57;Affect
Indulgente;95;Affect
Indulgente;89;Affect
Indulgente;63;Affect
Indulgente;52.5;Affect
Indulgente;62.5;Affect
Indulgente;47.5;Affect
Indulgente;85.5;Affect
Indulgente;95;Affect
Indulgente;50;Affect
Indulgente;71.5;Affect
Indulgente;80;Likableness
Indulgente;70;Likableness
Indulgente;90;Likableness
Indulgente;79.5;Likableness
Indulgente;84.5;Likableness
Indulgente;73;Likableness
Indulgente;68.5;Likableness
Indulgente;75.5;Likableness
Indulgente;60;Likableness
Indulgente;80;Likableness
Indulgente;89;Likableness
Indulgente;85;Likableness
Indulgente;88;Likableness
Indulgente;83.5;Likableness
Indulgente;70;Likableness
Indulgente;55.5;Likableness
Indulgente;45.5;Likableness
Indulgente;80;Likableness
Indulgente;57.5;Likableness
Indulgente;80;Likableness
Indulgente;75;Likableness
Indulgente;69.5;Likableness
Indulgente;72;Likableness
Indulgente;48.5;Likableness
Indulgente;42.5;Likableness
Indulgente;57.5;Likableness
Indulgente;87.5;Likableness
Indulgente;95;Likableness
Indulgente;74.5;Likableness
Indulgente;84;Likableness
Ingenioso/a;43.5;Affect
Ingenioso/a;30;Affect
Ingenioso/a;0;Affect
Ingenioso/a;32;Affect
Ingenioso/a;14.5;Affect
Ingenioso/a;20;Affect
Ingenioso/a;26;Affect
Ingenioso/a;62;Affect
Ingenioso/a;13.5;Affect
Ingenioso/a;20;Affect
Ingenioso/a;18.5;Affect
Ingenioso/a;18.5;Affect
Ingenioso/a;38.5;Affect
Ingenioso/a;10;Affect
Ingenioso/a;60.5;Affect
Ingenioso/a;58;Affect
Ingenioso/a;56.5;Affect
Ingenioso/a;40;Affect
Ingenioso/a;90;Affect
Ingenioso/a;45.5;Affect
Ingenioso/a;0;Affect
Ingenioso/a;45;Affect
Ingenioso/a;70.5;Affect
Ingenioso/a;68.5;Affect
Ingenioso/a;5;Affect
Ingenioso/a;5;Affect
Ingenioso/a;33;Affect
Ingenioso/a;5;Affect
Ingenioso/a;100;Affect
Ingenioso/a;61.5;Affect
Ingenioso/a;81.5;Likableness
Ingenioso/a;70;Likableness
Ingenioso/a;97;Likableness
Ingenioso/a;77;Likableness
Ingenioso/a;89.5;Likableness
Ingenioso/a;92.5;Likableness
Ingenioso/a;91;Likableness
Ingenioso/a;75;Likableness
Ingenioso/a;90;Likableness
Ingenioso/a;89.5;Likableness
Ingenioso/a;89.5;Likableness
Ingenioso/a;100;Likableness
Ingenioso/a;90;Likableness
Ingenioso/a;89;Likableness
Ingenioso/a;89.5;Likableness
Ingenioso/a;52.5;Likableness
Ingenioso/a;37.5;Likableness
Ingenioso/a;74.5;Likableness
Ingenioso/a;65;Likableness
Ingenioso/a;73.5;Likableness
Ingenioso/a;100;Likableness
Ingenioso/a;99.5;Likableness
Ingenioso/a;98.5;Likableness
Ingenioso/a;49;Likableness
Ingenioso/a;100;Likableness
Ingenioso/a;100;Likableness
Ingenioso/a;96.5;Likableness
Ingenioso/a;100;Likableness
Ingenioso/a;99.5;Likableness
Ingenioso/a;88.5;Likableness
Inteligente;25;Affect
Inteligente;50;Affect
Inteligente;0;Affect
Inteligente;42.5;Affect
Inteligente;25;Affect
Inteligente;20;Affect
Inteligente;25;Affect
Inteligente;72.5;Affect
Inteligente;7.5;Affect
Inteligente;17.5;Affect
Inteligente;21.5;Affect
Inteligente;20;Affect
Inteligente;10;Affect
Inteligente;11.5;Affect
Inteligente;74.5;Affect
Inteligente;25.5;Affect
Inteligente;81.5;Affect
Inteligente;35.5;Affect
Inteligente;60;Affect
Inteligente;32;Affect
Inteligente;0;Affect
Inteligente;49.5;Affect
Inteligente;80.5;Affect
Inteligente;56;Affect
Inteligente;20;Affect
Inteligente;5;Affect
Inteligente;1.5;Affect
Inteligente;2.5;Affect
Inteligente;93;Affect
Inteligente;73.5;Affect
Inteligente;87.5;Likableness
Inteligente;100;Likableness
Inteligente;100;Likableness
Inteligente;80.5;Likableness
Inteligente;94.5;Likableness
Inteligente;99;Likableness
Inteligente;88;Likableness
Inteligente;82.5;Likableness
Inteligente;94.5;Likableness
Inteligente;88.5;Likableness
Inteligente;90;Likableness
Inteligente;95;Likableness
Inteligente;90;Likableness
Inteligente;88;Likableness
Inteligente;100;Likableness
Inteligente;93;Likableness
Inteligente;77;Likableness
Inteligente;65.5;Likableness
Inteligente;85;Likableness
Inteligente;96;Likableness
Inteligente;100;Likableness
Inteligente;100;Likableness
Inteligente;99.5;Likableness
Inteligente;75.5;Likableness
Inteligente;100;Likableness
Inteligente;97.5;Likableness
Inteligente;94.5;Likableness
Inteligente;100;Likableness
Inteligente;99;Likableness
Inteligente;87.5;Likableness
Leal;85;Affect
Leal;50;Affect
Leal;0;Affect
Leal;36;Affect
Leal;35;Affect
Leal;69;Affect
Leal;54.5;Affect
Leal;67;Affect
Leal;75;Affect
Leal;30.5;Affect
Leal;44.5;Affect
Leal;70.5;Affect
Leal;70;Affect
Leal;37.5;Affect
Leal;79.5;Affect
Leal;66;Affect
Leal;73;Affect
Leal;50;Affect
Leal;95;Affect
Leal;72.5;Affect
Leal;60;Affect
Leal;80;Affect
Leal;83;Affect
Leal;67;Affect
Leal;20;Affect
Leal;67.5;Affect
Leal;22.5;Affect
Leal;100;Affect
Leal;85.5;Affect
Leal;72;Affect
Leal;84.5;Likableness
Leal;100;Likableness
Leal;100;Likableness
Leal;91;Likableness
Leal;90.5;Likableness
Leal;94.5;Likableness
Leal;86.5;Likableness
Leal;82;Likableness
Leal;87.5;Likableness
Leal;90.5;Likableness
Leal;92.5;Likableness
Leal;98.5;Likableness
Leal;94.5;Likableness
Leal;88;Likableness
Leal;100;Likableness
Leal;93.5;Likableness
Leal;69;Likableness
Leal;90;Likableness
Leal;75;Likableness
Leal;95.5;Likableness
Leal;87.5;Likableness
Leal;100;Likableness
Leal;95;Likableness
Leal;71.5;Likableness
Leal;97.5;Likableness
Leal;100;Likableness
Leal;51.5;Likableness
Leal;100;Likableness
Leal;99.5;Likableness
Leal;97;Likableness
Sincero/a;84.5;Affect
Sincero/a;70;Affect
Sincero/a;5;Affect
Sincero/a;73.5;Affect
Sincero/a;60.5;Affect
Sincero/a;57.5;Affect
Sincero/a;65;Affect
Sincero/a;73;Affect
Sincero/a;20;Affect
Sincero/a;24.5;Affect
Sincero/a;38.5;Affect
Sincero/a;71.5;Affect
Sincero/a;65;Affect
Sincero/a;47.5;Affect
Sincero/a;100;Affect
Sincero/a;24.5;Affect
Sincero/a;65;Affect
Sincero/a;31.5;Affect
Sincero/a;85;Affect
Sincero/a;72.5;Affect
Sincero/a;40;Affect
Sincero/a;80;Affect
Sincero/a;57;Affect
Sincero/a;66.5;Affect
Sincero/a;12.5;Affect
Sincero/a;10;Affect
Sincero/a;11.5;Affect
Sincero/a;42.5;Affect
Sincero/a;73;Affect
Sincero/a;69.5;Affect
Sincero/a;85;Likableness
Sincero/a;100;Likableness
Sincero/a;97.5;Likableness
Sincero/a;94.5;Likableness
Sincero/a;83;Likableness
Sincero/a;83.5;Likableness
Sincero/a;81.5;Likableness
Sincero/a;76.5;Likableness
Sincero/a;70.5;Likableness
Sincero/a;93;Likableness
Sincero/a;78;Likableness
Sincero/a;55;Likableness
Sincero/a;80;Likableness
Sincero/a;67.5;Likableness
Sincero/a;99.5;Likableness
Sincero/a;45;Likableness
Sincero/a;20;Likableness
Sincero/a;66.5;Likableness
Sincero/a;80;Likableness
Sincero/a;75.5;Likableness
Sincero/a;50;Likableness
Sincero/a;80;Likableness
Sincero/a;90.5;Likableness
Sincero/a;77.5;Likableness
Sincero/a;67.5;Likableness
Sincero/a;65;Likableness
Sincero/a;89;Likableness
Sincero/a;82.5;Likableness
Sincero/a;99.5;Likableness
Sincero/a;71;Likableness
Average;68.00;Affect
Average;46.67;Affect
Average;13.33;Affect
Average;43.33;Affect
Average;40.00;Affect
Average;34.60;Affect
Average;44.43;Affect
Average;69.83;Affect
Average;62.00;Affect
Average;43.00;Affect
Average;39.72;Affect
Average;61.17;Affect
Average;55.00;Affect
Average;40.25;Affect
Average;87.50;Affect
Average;59.25;Affect
Average;76.00;Affect
Average;44.75;Affect
Average;77.22;Affect
Average;53.60;Affect
Average;49.38;Affect
Average;73.29;Affect
Average;75.14;Affect
Average;60.00;Affect
Average;32.50;Affect
Average;35.83;Affect
Average;37.00;Affect
Average;79.17;Affect
Average;68.80;Affect
Average;79.00;Affect
Average;79.00;Likableness
Average;85.56;Likableness
Average;97.40;Likableness
Average;82.75;Likableness
Average;84.40;Likableness
Average;87.40;Likableness
Average;84.60;Likableness
Average;80.75;Likableness
Average;81.75;Likableness
Average;79.75;Likableness
Average;87.60;Likableness
Average;91.25;Likableness
Average;88.60;Likableness
Average;86.40;Likableness
Average;92.71;Likableness
Average;72.40;Likableness
Average;68.00;Likableness
Average;77.40;Likableness
Average;72.50;Likableness
Average;92.00;Likableness
Average;82.50;Likableness
Average;94.43;Likableness
Average;83.33;Likableness
Average;68.50;Likableness
Average;100.00;Likableness
Average;89.86;Likableness
Average;81.33;Likableness
Average;98.57;Likableness
Average;96.00;Likableness
Average;84.50;Likableness
